vertical,opps
280000000000,49457928.2
261400000000,48854741.8
10201000000,10525544.2
10700000000,10039445.2
10705000000,9793712
10704010000,9310646.6
10704000000,8431749.2
180400000000,6496160.4
250100000000,5412016.4
140703000000,3140993.8
10201020000,2624218
260000000000,2516954.8
10000000000,2086140.2
250000000000,1487446
180000000000,1221074.2
100000000000,1035436.8
10703000000,1004956.2
140701000000,968489
10703010000,885117.6
10201010000,812234.4
140700000000,662568.2
170000000000,514204
60000000000,484081.2
10202000000,462668.8
283900000000,360962
180100000000,319299
180101000000,319230.2
180802000000,294791.8
10701130100,236615.8
100100000000,203092.6
140302000000,196260.2
10812000000,179647.2
10812010000,173508.8
10203000000,167297.6
150100000000,164925.8
70000000000,149973.6
180801000000,148968.2
10100000000,148226.6
40300000000,105337.8
90400000000,93646.4
10200000000,88961.6
150000000000,77090.8
40000000000,76846.8
180200000000,75379.4
290000000000,73038.8
250200000000,66440.2
100600000000,63197.8
140000000000,59085.6
10800000000,58566.2
10407000000,53078.6
170900000000,47624.2
101001000000,42149.8
140704000000,34230.4
180500000000,33655.2
180602000000,33158.8
287400000000,28605.6
287800000000,27880.8
287500000000,26682.8
10703040000,25644.2
190000000000,24739
50000000000,24402.4
120000000000,19773.6
90200000000,19663.8
130000000000,19294
260700000000,18503
220000000000,17211.4
40600000000,13871.2
140302010000,13254
170800000000,11327.6
100606000000,10916.2
80000000000,10581.4
101200000000,10456
30000000000,8709.6
90000000000,7790.2
220100000000,6474.6
101000000000,6320.4
287600000000,6084.8
79900000000,5640.8
190500000000,5444.6
270000000000,5250.8
20000000000,5094.2
100200000000,5023
110000000000,4748.8
100104000000,4688.8
240000000000,3816.2
100902000000,3203.4
20900000000,3189
80200000000,2928.8
10815010000,2779.6
140900000000,2727.4
10702000000,2504.2
190401000000,2319.2
30700000000,2288.6
230000000000,1986
50400000000,1708.2
210000000000,1223.8
220203000000,1128.6
171000000000,980.8
10811000000,911.2
111700000000,854.8
200000000000,793
10701070000,771.2
50100000000,767
220302000000,727.8
10400000000,720.8
60600000000,551
60909000000,506
240400000000,483.4
140400000000,422.6
220300000000,353
140504000000,287.6
140300000000,279.6
11200000000,247.4
10811030000,225.4
150300000000,157.8
190400000000,147.8
60900000000,100.4
10701000000,99.6
60906050000,90.4
10701130000,75.8
287700000000,38.4
190512000000,34.8
140902000000,31
260601000000,20.2
90100000000,19.4
140702000000,19.2
10701080000,13.8
40700000000,13.8
10810000000,12.4
280100000000,10.4
11001000000,9.6
60800000000,7.8
285200000000,7.4
288100000000,4.4
70703000000,2.6
10813000000,2.4
10703050300,2
10701030000,1
160000000000,0.6
190501000000,0.6
284900000000,0.6
,0.4
120300000000,0.4
140905000000,0.4
170600000000,0.4
250102000000,0.4
140906000000,0.2
180800000000,0.2
60408050000,0.2
n/a,0
